"hump","arch one''s back"
"retransmit","transmit again"
"peregrinate","travel around, through, or over, especially on foot; ""peregrinate the bridge"""
"clear","pass by, over, or under without making contact; ""the balloon cleared the tree tops"""
"top","pass by, over, or under without making contact; ""the balloon cleared the tree tops"""
"pronate","turn the forearm or the hand so that the palm is directed downwards"
"outdistance","go far ahead of; ""He outdistanced the other runners"""
"outstrip","go far ahead of; ""He outdistanced the other runners"""
"distance","go far ahead of; ""He outdistanced the other runners"""
"protrude","bulge outward; ""His eyes popped"""
"pop","bulge outward; ""His eyes popped"""
"bulge","bulge outward; ""His eyes popped"""
"career","move headlong at high speed; ""The cars careered down the road""; ""The mob careered through the streets"""
"circuit","make a circuit; ""They were circuiting about the state"""
"spread","strew or distribute over an area; ""He spread fertilizer over the lawn""; ""scatter cards across the table"""
"scatter","strew or distribute over an area; ""He spread fertilizer over the lawn""; ""scatter cards across the table"""
"manure","spread manure, as for fertilization"
"muck","spread manure, as for fertilization"
"birdlime","spread birdlime on branches to catch birds"
"lime","spread birdlime on branches to catch birds"
"circumfuse","spread something around something"
"collapse","fold or close up; ""fold up your umbrella""; ""collapse the music stand"""
"concertina","collapse like a concertina"
"bestir","become active; ""He finally bestirred himself"""
"rouse","become active; ""He finally bestirred himself"""
"debouch","march out (as from a defile) into open ground; ""The regiments debouched from the valley"""
"exteriorize","bring outside the body for surgery, of organs"
"flurry","move in an agitated or confused manner"
"march","force to march; ""The Japanese marched their prisoners through Manchuria"""
"march","cause to march or go at a marching pace; ""They marched the mules into the desert"""
"frogmarch","march a person against his will by any method"
"gutter","flow in small streams; ""Tears guttered down her face"""
"hare","run quickly, like a hare; ""He hared down the hill"""
"lance","move quickly, as if by cutting one''s way; ""Planes lanced towards the shore"""
"mantle","spread over a surface, like a mantle"
"outflank","go around the flank of (an opposing army)"
"propagate","travel through the air; ""sound and light propagate in this medium"""
"dock","come into dock; ""the ship docked"""
"undock","move out of a dock; ""We docked at noon"""
"upstage","move (another actor) upstage, forcing him to turn away from the audience"
"welter","toss, roll, or rise and fall in an uncontrolled way; ""The shipwrecked survivors weltered in the sea for hours"""
"remove","shift the position or location of, as for business, legal, educational, or military purposes; ""He removed his children to the countryside""; ""Remove the troops to the forest surrounding the city""; ""remove a case to another court"""
"transfer","shift the position or location of, as for business, legal, educational, or military purposes; ""He removed his children to the countryside""; ""Remove the troops to the forest surrounding the city""; ""remove a case to another court"""
"stampede","cause to run in panic; ""Thunderbolts can stampede animals"""
"pack","fill to capacity; ""This singer always packs the concert halls""; ""They murder trial packed the court house"""
"land","bring ashore; ""The drug smugglers landed the heroin on the beach of the island"""
"port","bring to port; ""the captain ported the ship at night"""
"streak","move quickly in a straight line; ""The plane streaked across the sky"""
"swing","move in a curve or arc, usually with the intent of hitting; ""He swung his left fist""; ""swing a bat"""
"draw","move or go steadily or gradually; ""The ship drew near the shore"""
"transfer","change from one vehicle or transportation line to another; ""She changed in Chicago on her way to the East coast"""
"change","change from one vehicle or transportation line to another; ""She changed in Chicago on her way to the East coast"""
"heave","nautical: to move or cause to move in a specified way, direction, or position; ""The vessel hove into sight"""
"crash","move with, or as if with, a crashing noise; ""The car crashed through the glass door"""
"thunder","move fast, noisily, and heavily; ""The bus thundered down the road"""
"snap","move with a snapping sound; ""bullets snapped past us"""
"swash","make violent, noisy movements"
"turn","cause to move around a center so as to show another side of; ""turn a page of a book"""
"evert","turn inside out; turn the inner surface of outward; ""evert the eyelid"""
"leaf","turn over pages; ""leaf through a book""; ""leaf a manuscript"""
"turn","cause to move around or rotate; ""turn a key""; ""turn your palm this way"""
"supinate","turn (the hand or forearm) so that the back is downward or backward, or turn out (the leg)"
"turn","cause to move along an axis or into a new direction; ""turn your face to the wall""; ""turn the car around""; ""turn your dance partner around"""
"port","put or turn on the left side, of a ship; ""port the helm"""
"slide","move smoothly along a surface; ""He slid the money over to the other gambler"""
"pace","go at a pace; ""The horse paced"""
"step","put down or press the foot, place the foot; ""For fools rush in where angels fear to tread""; ""step on the brake"""
"tread","put down or press the foot, place the foot; ""For fools rush in where angels fear to tread""; ""step on the brake"""
"step","walk a short distance to a specified place or in a specified manner; ""step over to the blackboard"""
"step","move with one''s feet in a specific manner; ""step lively"""
"hurtle","move with or as if with a rushing sound; ""The cars hurtled by"""
"run","cause an animal to move fast; ""run the dogs"""
"retreat","move away, as for privacy; ""The Pope retreats to Castelgondolfo every summer"""
"cocoon","retreat as if into a cocoon, as from an unfriendly environment; ""Families cocoon around the T.V. set most evenings""; ""She loves to stay at home and cocoon"""
"whistle","move with, or as with, a whistling sound; ""The bullets whistled past him"""
"whistle","move, send, or bring as if by whistling; ""Her optimism whistled away these worries"""
"beat","move with a flapping motion; ""The bird''s wings were flapping"""
"flap","move with a flapping motion; ""The bird''s wings were flapping"""
"beat","move with a thrashing motion; ""The bird flapped its wings""; ""The eagle beat its wings and soared high into the sky"""
"flap","move with a thrashing motion; ""The bird flapped its wings""; ""The eagle beat its wings and soared high into the sky"""
"flail","move like a flail; thresh about; ""Her arms were flailing"""
"thresh","move like a flail; thresh about; ""Her arms were flailing"""
"bate","flap the wings wildly or frantically; used of falcons"
"clap","strike the air in flight; ""the wings of the birds clapped loudly"""
"clap","cause to strike the air in flight; ""The big bird clapped its wings"""
