"entity","that which is perceived or known or inferred to have its own distinct existence (living or nonliving)"
"thing","a separate and self-contained entity"
"anything","a thing of any kind; ""do you have anything to declare?"""
"something","a thing of some kind; ""is there something you want?"""
"nothing","a nonexistent thing"
"nonentity","a nonexistent thing"
"whole","an assemblage of parts that is regarded as a single entity; ""how big is that part compared to the whole?""; ""the team is a unit"""
"unit","an assemblage of parts that is regarded as a single entity; ""how big is that part compared to the whole?""; ""the team is a unit"""
"organism","a living thing that has (or can develop) the ability to act or function independently"
"being","a living thing that has (or can develop) the ability to act or function independently"
"benthos","organisms (plants and animals) that live at or near the bottom of a sea"
"heterotroph","an organism that depends on complex organic substances for nutrition"
"life","living things collectively; ""the oceans are teeming with life"""
"biont","a discrete unit of living matter"
"cell","(biology) the basic structural and functional unit of all organisms; cells may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals"
"cause","any entity that causes events to happen"
"person","a human being; ""there was too much for one person to do"""
"individual","a human being; ""there was too much for one person to do"""
"someone","a human being; ""there was too much for one person to do"""
"somebody","a human being; ""there was too much for one person to do"""
"mortal","a human being; ""there was too much for one person to do"""
"human","a human being; ""there was too much for one person to do"""
"soul","a human being; ""there was too much for one person to do"""
"animal","a living organism characterized by voluntary movement"
"beast","a living organism characterized by voluntary movement"
"brute","a living organism characterized by voluntary movement"
"creature","a living organism characterized by voluntary movement"
"fauna","a living organism characterized by voluntary movement"
"plant","a living organism lacking the power of locomotion"
"flora","a living organism lacking the power of locomotion"
"object","a tangible and visible entity; an entity that can cast a shadow; ""it was full of rackets, balls and other objects"""
"substance","that which has mass and occupies space; ""an atom is the smallest indivisible unit of matter"""
"matter","that which has mass and occupies space; ""an atom is the smallest indivisible unit of matter"""
"food","any substance that can be metabolized by an organism to give energy and build tissue"
"nutrient","any substance that can be metabolized by an organism to give energy and build tissue"
"artifact","a man-made object taken as a whole"
"artefact","a man-made object taken as a whole"
"article","one of a class of artifacts; ""an article of clothing"""
"abstraction","a general concept formed by extracting common features from specific examples"
"cognition","the psychological result of perception and learning and reasoning"
"knowledge","the psychological result of perception and learning and reasoning"
"noesis","the psychological result of perception and learning and reasoning"
"motivation","the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior; ""we did not understand his motivation""; ""he acted with the best of motives"""
"motive","the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior; ""we did not understand his motivation""; ""he acted with the best of motives"""
