"Assyrian","an inhabitant of ancient Assyria"
"Kassite","a member of an ancient people who ruled Babylonia between 1600 and 1200 BC"
"Cassite","a member of an ancient people who ruled Babylonia between 1600 and 1200 BC"
"Elamite","a member of an ancient warlike people living in Elam east of Babylonia as early as 3000 BC"
"Phoenician","a member of an ancient Semitic people who dominated trade in the first millennium B.C."
"whitey","offensive names for a White man"
"honky","offensive names for a White man"
"honkey","offensive names for a White man"
"honkie","offensive names for a White man"
"WASP","a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination"
"Asian","a native or inhabitant of Asia"
"Asiatic","a native or inhabitant of Asia"
"coolie","an offensive name for an unskilled Asian laborer"
"cooly","an offensive name for an unskilled Asian laborer"
"Oriental","a member of an Oriental race"
"gook","a disparaging term for an Asian person (especially for North Vietnamese soldiers in the Vietnam War)"
"Evenki","a member of the people inhabiting an area of northern Mongolia and eastern Siberia"
"Ewenki","a member of the people inhabiting an area of northern Mongolia and eastern Siberia"
"Mongol","a member of the nomadic peoples of Mongolia"
"Mongolian","a member of the nomadic peoples of Mongolia"
"Tatar","a member of the Turkic-speaking people living from the Volga to the Ural Mountains (the name has been attributed to many other groups)"
"Udmurt","a member of the Finno-Ugric-speaking people living in eastern European Russia"
"Votyak","a member of the Finno-Ugric-speaking people living in eastern European Russia"
"Tatar","a member of the Mongolian people of central Asia who invaded Russia in the 13th century"
"Tartar","a member of the Mongolian people of central Asia who invaded Russia in the 13th century"
"Amerindian","any member of the peoples living in North or South America before the Europeans arrived"
"Indian","a member of the race of people living in North America when Europeans arrived"
"brave","a North American Indian warrior"
"Abnaki","a member of the Algonquian people of Maine and southern Quebec"
"Achomawi","a member of the North American Indian people of the Pit river valley in northern California"
"Akwa'ala","a member of a North American Indian people living in Baja California"
"Alabama","a member of the Muskhogean people formerly living in Alabama; a member of the Creek Confederacy"
"Algonkian","a member of a North American Indian people in the Ottawa river valley of Ontario and Quebec"
"Algonkin","a member of a North American Indian people in the Ottawa river valley of Ontario and Quebec"
"Algonquian","a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast"
"Algonquin","a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast"
"Anasazi","a Native American who lived in what is now southern Colorado and Utah and northern Arizona and New Mexico and who built cliff dwellings"
"Atakapa","a member of an Indian people formerly living along the Gulf coast of Louisiana and Texas"
"Attacapan","a member of an Indian people formerly living along the Gulf coast of Louisiana and Texas"
"Athapaskan","a member of any of the North American Indian groups speaking an Athapaskan language and living in the subarctic regions of western Canada and central Alaska"
"Athapascan","a member of any of the North American Indian groups speaking an Athapaskan language and living in the subarctic regions of western Canada and central Alaska"
"Athabaskan","a member of any of the North American Indian groups speaking an Athapaskan language and living in the subarctic regions of western Canada and central Alaska"
"Athabascan","a member of any of the North American Indian groups speaking an Athapaskan language and living in the subarctic regions of western Canada and central Alaska"
"Mayan","a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy; ""Mayans had a system of writing and an accurat"
"Maya","a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy; ""Mayans had a system of writing and an accurat"
"Nahuatl","a member of any of various Indian peoples of central Mexico"
"Olmec","a member of an early Mesoamerican civilization contered around Veracruz that flourished between 1300 and 400 BC"
"Aztec","a member of the Nahuatl people who established an empire in Mexico that was overthrown by Cortes in 1519"
"Zapotec","a member of of a large tribe of Mesoamericans living in southern Mexico whose civilization flourished around 300 to 900"
"Zapotecan","a member of of a large tribe of Mesoamericans living in southern Mexico whose civilization flourished around 300 to 900"
"Apache","any member of Athapaskan tribes that migrated to the southwestern desert (from Arizona to Texas and south into Mexico); fought a losing battle from 1861 to 1886 with the United States and were resettled in Oklahoma"
"Arapaho","a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming)"
"Arapahoe","a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming)"
"Arikara","a member of the Caddo people who formerly lived in the Dakotas west of the Missouri river"
"Aricara","a member of the Caddo people who formerly lived in the Dakotas west of the Missouri river"
